SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
APHO-0021,5,MADONNA,2200 S 52ND ST,LINCOLN,NE,68506,14,1989-10-12,2200 S 52ND ST,LINCOLN,LANCASTER,HEATING OIL,8532,MADONNA
APHO-0037,5,FARMERS MUTUAL INSURANCE,1220 LINCOLN MALL,LINCOLN,NE,68508,14,1993-03-24,1220 LINCOLN MALL,LINCOLN,LANCASTER,HEATING OIL #2,8544,FARMERS MUTUAL INSURANCE
APHO-0041,5,BELLEVUE SCHOOL DIST #2,2009 FRANKLIN ST,BELLEVUE,NE,68005,14,1991-08-26,2107 E AVERY RD,BELLEVUE,SARPY,HEATING OIL,8546,AVERY ELEMENTATRY SCHOOL
APHO-0053,5,BELLEVUE PUBLIC SCHOOLS,2009 FRANKLIN,BELLEVUE,NE,68005,14,1990-07-24,2202 WASHINGTON ST,BELLEVUE,SARPY,HEATING OIL,8558,MISSION JR HIGH SCHOOL
APHO-0057,5,GRAND ISLAND PUB. SCHOOLS,615 N ELM,GRAND ISLAND,NE,68801,14,1992-08-07,602 W STOLLEY PARK RD,GRAND ISLAND,HALL,DIESEL/HEATING OIL,8561,BARR JUNIOR HIGH SCHOOL
APHO-0088,5,OMAHA PUBLIC SCHOOLS,4041 N 72ND ST,OMAHA,NE,68134,14,1989-11-27,3520 MAPLEWOOD BLVD,OMAHA,DOUGLAS,#2 FUEL OIL,8591,OMAHA PUBLIC SCHOOLS
APHO-0101,5,OMAHA PUBLIC SCHOOLS,3902 DAVENPORT,OMAHA,NE,68131,14,1989-07-21,2758 ELLISON AVE,OMAHA,DOUGLAS,DIESEL,8604,MILLER PARK SCHOOL
APHO-0102,5,OMAHA PUBLIC SCHOOL,4041 N 72ND ST,OMAHA,NE,68134,14,1990-06-27,3109 PEDERSON DR,OMAHA,DOUGLAS,,8605,OMAHA PUBLIC SCHOOL
APHO-0115,5,HAGERBAUMER BROTHERS INC,RR 1 BOX 152,ARLINGTON,NE,68025,14,1990-10-04,RR 1 BOX 152,ARLINGTON,WASHINGTON,GAS,8618,HAGERBAUMER BROTHERS INC
APHO-0141,5,LINCOLN PUBLIC SCHOOLS,5901 'O' ST,LINCOLN,NE,68510,14,1992-09-23,7700 LEIGHTON AVE,LINCOLN,LANCASTER,HEATING OIL,8643,EVELYN KAHOA SCHOOL
APHO-0178,5,NORFOLK PUBLIC SCHOOLS,512 PHILIP AVE,NORFOLK,NE,68701,14,1989-07-28,1703 PHILIP AVE,NORFOLK,MADISON,HEATING OIL,8675,WESTSIDE SCHOOL
APHO-0218,5,HOOVER GROUP INC,700-710 S 7TH ST,BEATRICE,NE,68310,14,1989-05-18,700-710 S 7TH ST,BEATRICE,GAGE,HEATING OIL,8710,HOOVER GROUP INC
APHO-0220,5,"IBP, INC.",BOX 515,DAKOTA CITY,NE,68731,7,1987-12-14,HWY 275,WEST POINT,CUMING,FUEL OIL,8712,IBP - WEST POINT
APHO-0221,5,SCHUYLER CENTRAL HIGH SCH,401 ADAMS ST,SCHUYLER,NE,,14,1988-12-13,401 ADAMS STT,SCHUYLER,COLFAX,#2 FUEL OIL,8713,SCHUYLER CENTRAL HIGH
APHO-0227,5,CEDAR HOLLOW DIST 3,RR 2 BOX 73A,GRAND ISLAND,NE,68803,14,1991-05-30,RR 2 BOX 73A,GRAND ISLAND,HALL,HEATING OIL,8718,CEDAR HOLLOW SCHOOL
APHO-0237,5,ST PAULS LUTHERN CHURCH,1515 S HARRISON,GRAND ISLAND,NE,68801,14,1988-12-12,1515 S HARRISON,GRAND ISLAND,HALL,DIESEL,8727,ST PAULS LUTHERN CHURCH
APHO-0265,5,MUNICIPAL LIGHT AND WATER,4TH AND PACIFIC,NORTH PLATTE,NE,69101,7,1993-03-30,4TH AND PACIFIC NW CRNR,NORTH PLATTE,LINCOLN,DIESEL,8750,MUNICIPAL LIGHT AND WATER
APHO-0285,5,COLUMBUS CITY SCHOOLS,2200 26TH ST,COLUMBUS,NE,68601,14,,1610 9TH ST,COLUMBUS,PLATTE,HEATING OIL,8767,FIELD SCHOOL (FIRST WARD)
APHO-0286,5,COLUMBUS CITY SCHOOLS,2200 26TH ST,COLUMBUS,NE,68601,14,,2316 9TH ST,COLUMBUS,PLATTE,HEATING OIL,8768,WILLIAMS SCHOOL
APHO-0288,5,COLUMBUS CITY SCHOOLS,2200 26TH ST,COLUMBUS,NE,68601,14,1989-12-05,4100 ADAMY ST,COLUMBUS,PLATTE,HEATING OIL,8770,WEST PARK SCHOOL
APHO-0294,5,NE MILITARY DEPARTMENT,1300 MILITARY RD,LINCOLN,NE,68508,14,1989-06-14,6929 MERCY RD,OMAHA,DOUGLAS,HEATING OIL,8776,OMAHA ARMORY
APHO-0333,5,CITY OF LOUP CITY,134 S 8TH ST,LOUP CITY,NE,68853,14,1991-04-10,"626 N"" ST""",LOUP CITY,SHERMAN,HEATING OIL,8803,SACRED HEART HOSPITAL
APHO-0344,5,CHERRY CO COURTHOUSE,365 N MAIN ST,VALENTINE,NE,69201,14,1990-08-08,365 N MAIN ST,VALENTINE,CHERRY,HEATING OIL,8813,CHERRY CO COURTHOUSE
APHO-0347,5,NE CENTER FOR CHILDREN,2320 N 57TH ST,LINCOLN,NE,68501,14,1990-08-21,2320 N 57TH ST,LINCOLN,LANCASTER,HEATING OIL,8816,NE CENTER FOR CHILDREN
APHO-0348,5,COMFED-DODGE FUND #1,8701 W DODGE RD,OMAHA,NE,68114,14,1990-10-18,1101 N FORT CROOK RD,BELLEVUE,SARPY,HEATING OIL,5632,SEARS ROEBUCK AND COMPANY
APHO-0354,5,WESTERN NE COMM COLLEGE,RT 1  BOX 300,SIDNEY,NE,69162,7,1993-03-08,SW CNR OF OLD EQUIP SHED,SIDNEY,CHEYENNE,WASTE OIL,8822,WESTERN NE COMM COLLEGE
APHO-0358,5,THE DUDA COMPANY,617 S 37TH ST,OMAHA,NE,68105,14,1990-11-27,418 S 38TH AVE,OMAHA,DOUGLAS,HEATING OIL,8825,TADOUSAC APARTMENTS
APHO-0364,5,ALIANT COMMUNICATION,"1440 M"" ST""",LINCOLN,NE,68508,14,1991-07-23,500 S 16TH ST,LINCOLN,LANCASTER,HEATING OIL,8830,LINCOLN TELEPHONE
APHO-0366,5,ELM CREEK PUBLIC SCHOOL,PO BOX 490,ELM CREEK,NE,68836,14,1991-12-11,200 CALKINS,ELM CREEK,BUFFALO,HEATING OIL,8832,ELM CREEK PUBLIC SCHOOL
APHO-0368,5,TARGET STORE,12990 W CENTER RD,OMAHA,NE,68108,14,1991-07-17,12990 W CENTER RD,OMAHA,DOUGLAS,HEATING OIL,8833,TARGET STORE
APHO-0370,5,BURKLEY ENVELOPE CO,PO BOX 3507,OMAHA,NE,68102,14,1990-12-05,1702 WEBSTER ST,OMAHA,DOUGLAS,HEATING OIL,8835,BURKLEY ENVELOPE CO
APHO-0373,5,UNITED BRASS & ALUMINUM,4412 N 22ND ST,OMAHA,NE,68110,14,1992-12-09,4401 N 22ND ST,OMAHA,DOUGLAS,HEATING OIL,8838,UNITED BRASS & ALUMINUM
APHO-0381,5,FIRST PLYMOUTH CHURCH,"2000 D"" ST""",LINCOLN,NE,68502,14,1992-08-07,"2000 D"" ST""",LINCOLN,LANCASTER,HEATING OIL,8763,FIRST PLYMOUTH CHURCH
APHO-0383,5,HOWARD SCHOOL,240 NORTH HOWARD,FREMONT,NE,68025,14,1990-06-11,240 NORTH HOWARD,FREMONT,DODGE,HEATING OIL,8846,HOWARD SCHOOL
APHO-0384,5,CLARKSON SCHOOL,1005 NROTH CLARKSON,FREMONT,NE,68025,14,1990-06-13,1005 NORTH CLARKSON,FREMONT,DODGE,HEATING OIL,8847,CLARKSON SCHOOL
APHO-0387,5,CLARMAR SCHOOL,1865 EAST 19TH ST,FREMONT,NE,68025,14,,1865 EAST 19TH ST,FREMONT,DODGE,,8850,CLARMAR SCHOOL
APHO-0388,5,DAVENPORT SCHOOL,940 MICHAEL,FREMONT,NE,68025,14,1990-06-08,940 MICHAEL,FREMONT,DODGE,HEATING OIL,8851,DAVENPORT SCHOOL
APHO-0389,5,MILLIKEN PARK ELEMENT SCH,2950 DALE STREET,FREMONT,NE,68025,14,1990-06-12,2950 DALE STREET,FREMONT,DODGE,HEATING OIL,8852,MILLIKEN PARK ELEMENT SCH
APHO-0404,5,DUDA REALITY,617 S 37TH ST,OMAHA,NE,68105,14,1991-03-27,4902 CAPITOL AVE,OMAHA,DOUGLAS,HEATING OIL,8864,ALHAMBRA APARTMENTS
APHO-0412,5,CITY OF FREMONT,725 N PARK,FREMONT,NE,68025,14,1993-04-26,400 E MILITARY,FREMONT,DODGE,HEATING OIL,8869,CITY OF FREMONT
APHO-0425,5,"BERGESON, JOHN",1113 S 95TH ST,OMAHA,NE,68144,14,1992-02-25,1517 JONES ST,OMAHA,DOUGLAS,HEATING OIL,8877,BERGESON PROPERTY
APHO-0426,5,INFLIGHT PRODUCTIONS,3114 ST MARYS AVE,OMAHA,NE,68102,14,1992-06-11,3114 ST MARY'S AVE,OMAHA,DOUGLAS,HEATING OIL,8878,INFLIGHT PRODUCTIONS
APHO-0433,5,AMERICAN NATIONAL BANK,8990 DODGE ST,OMAHA,NE,68117,14,1993-09-03,8990 W DODGE ST,OMAHA,DOUGLAS,HEATING OIL,8881,AMERICAN NATIONAL BANK
APHO-0441,5,US POSTAL SERVICE,507 MAIN ST,SEWARD,NE,68434,14,1992-02-10,507 MAIN ST,SEWARD,SEWARD,HEATING OIL,8888,US POSTAL SERVICE
APHO-0442,5,US POSTAL SERVICE,134 E 6TH ST,WAHOO,NE,68066,14,1992-04-20,134 E 6TH ST,WAHOO,SAUNDERS,HEATING OIL,8889,US POSTAL SERVICE
APHO-0449,5,YORK HOUSING AUTHORITY,215 LINCOLN AVE,YORK,NE,68467,14,1992-07-15,YORK LEISURE HOME-215 LINCOLN,YORK,YORK,# 2 DIESEL,8895,YORK LEISURE HOME
APHO-0462,5,RALSTON PUBLIC SCHOOLS,8545 PARK DRE,RALSTON,NE,68127,14,1992-08-11,4900 S 79TH ST,RALSTON,DOUGLAS,DIESEL,8905,SEYMOUR ELEMENTARY
APHO-0463,5,RALSTON PUBLIC SCHOOLS,8545 PARK DR,RALSTON,NE,68127,14,1992-08-11,"9301 Q"" ST""",RALSTON,DOUGLAS,DIESEL,8906,MOCKINGBIRD ELEMENTARY
APHO-0471,5,CLINIC BUILDING CORP,3145 O STREET,LINCOLN,NE,68510,14,1992-11-03,"3145 O"" ST""",LINCOLN,LANCASTER,DIESEL,8913,LINCOLN CLINIC
APHO-0484,5,MI MAMAS TORTILLA FACTORY,828 S 17TH ST,OMAHA,NE,68108,14,1993-05-04,828 S 17TH ST,OMAHA,DOUGLAS,HEATING OIL,8922,MI MAMAS TORTILLA FACTORY
APS-0147,5,MICHAELS REAL ESTATE CO,2400 N 48TH ST,LINCOLN,NE,68504,7,1990-06-19,1155 SAUNDERS ST,LINCOLN,LANCASTER,GASOLINE,1275,TRUCK GARAGE
APS-0384,5,PAWNEE PUBLIC SCHOOLS,729 E ST,PAWNEE CITY,NE,68420,7,1989-12-05,729 E ST,PAWNEE CITY,PAWNEE,,9298,JR/SR HIGH SCHOOL
APS-0586,5,FREMONT PUBLIC SCHOOLS,957 N PIERCE ST,FREMONT,NE,68025,7,1989-07-05,8TH & MAIN,FREMONT,DODGE,DIESELS,9480,INDUSTRIAL ARTS BLDG
APS-1559,5,UNKNOWN,,,,,7,,13313 MILLARD AVENUE,MILLARD,DOUGLAS,,10414,BIG A AUTO PARTS
APS-1750,5,ALLENS FURINTURE,402 E 4TH ST,COZAD,NE,69130,7,1989-03-30,402 E 4TH ST,COZAD,DAWSON,,10588,ALLENS FURINTURE
APS-1775,5,SAINT PATRICKS CHURCH,328 E BENTON,ONEILL,NE,68763,7,1989-08-04,328 E BENTON,O'NEILL,HOLT,DIESEL & GASOLINE,10611,SAINT PATRICKS CHURCH
APS-1820,5,STATE MILITARY DEPT.,1234 MILITARY ROAD,LINCOLN,NE,68508,7,1997-08-15,MEAD TRAINING (7TH & J),MEAD,SAUNDERS,HEATING OIL,10650,STATE MILITARY DEPT.
APS-1844,5,PLATTE CO HIST SOCIETY,2916 16TH ST,COLUMBUS,NE,68601,14,1991-03-01,2916 16TH ST,COLUMBUS,PLATTE,HEATING OIL,10668,PLATTE CO HIST SOCIETY
APS-1862,5,SPEICHINGER FARM,BOX 34,MALMO,NE,68040,14,1993-07-12,LOT 7 & 8 OF BLOCK 10,MALMO,SAUNDERS,UNK,10681,DOUG SPEICHINGER FARM
APS-1864,5,BLOOMFIELD MUNI AIRPORT,,BLOOMFIELD,NE,68718,7,1990-05-08,BLOOMFIELD MUNI AIRPORT,BLOOMFIELD,KNOX,GASOLINE,10683,BLOOMFIELD MUNI AIRPORT
APS-1869,5,NPPD,1414 15TH ST,COLUMBUS,NE,68601,14,1990-04-19,1414 15TH ST,COLUMBUS,PLATTE,FUEL OIL,2848,NPPD
APS-1910,5,CHI-OMEGA BLDG CORP,480 N 16TH,LINCOLN,NE,68508,7,1990-06-01,480 N 16TH ST,LINCOLN,LANCASTER,,10723,CHI OMEGA BUILDING
APS-1913,5,PAUL EKSTEIN,4206 PINEWOOD LN,LINCOLN,NE,,14,1990-06-01,4206 PINEWOOD LN,LINCOLN,LANCASTER,HEATING OIL,10724,PAUL EKSTEIN
APS-1914,5,UNK-JOY HOHENSEE,3800 SW 16TH,LINCOLN,NE,68522,14,1990-06-19,3800 SW 16TH,LINCOLN,LANCASTER,,10725,JOY HOHENSEE PROPERTY
APS-1922,5,,,,,,14,1990-07-18,526 N LINDEN ST,WAHOO,SAUNDERS,,10731,CITY OF WAHOO
APS-1924,5,CHRIST LUTHERAN SCHOOL,511 S 5TH ST,NORFOLK,NE,68701,14,1990-07-23,511 S 5TH ST,NORFOLK,MADISON,HEATING OIL,10732,CHRIST LUTHERAN SCHOOL
APS-1928,5,RICHS WELDING,RR 1 BOX 4,ARLINGTON,NE,68002,7,1990-09-04,RR 1 BOX 4,ARLINGTON,WASHINGTON,GASOLINE,10736,RICHS WELDING
APS-1940,5,BEATRICE CONST CO,2620 LINCOLN ST,BEATRICE,NE,68310,14,1990-10-08,OLD SCHOOL BUILDING,HOLMESVILLE,GAGE,HEATING OIL,2323,BEATRICE CONST CO
APS-1941,5,KRIHA TRUCKING,,CHAPPELL,NE,69129,7,1990-09-20,KRIHA TRUCKING,CHAPPELL,DEUEL,,10748,KRIHA TRUCKING
APS-1944,5,GREAT PLAINS TELEMARKET,508 3RD ST,SCRIBNER,NE,68057,7,1990-11-08,508 3RD ST,SCRIBNER,DODGE,GAS,10751,GREAT PLAINS TELEMARKET
APS-1945,5,ALBERT EARL HUMANN,4503 MEREDITH,LINCOLN,NE,68506,7,1990-09-26,9400 YANKEE HILL RD,LINCOLN,LANCASTER,,10752,ALBERT EARL HUMANN
APS-1953,5,KAPPA SIGMA FRATERNITY,519 N 16TH ST,LINCOLN,NE,68509,14,1990-10-31,519 N 16TH ST,LINCOLN,LANCASTER,HEATING OIL,10759,KAPPA SIGMA FRATERNITY
APS-1957,5,CITY OF LINCOLN,OLD FED BUILDING,LINCOLN,NE,68508,7,1990-07-30,"1042 P"" ST""",LINCOLN,LANCASTER,,10763,SAM LAWRENCE HOTEL
APS-1958,5,PLAINS IMPLEMENT CO,615 TOLUCA,ALLIANCE,NE,69301,7,1990-11-08,220 CHEYENNE AVE,ALLIANCE,BOX BUTTE,GASOLINE,10764,PLAINS IMPLEMENT CO BLDG
APS-1977,5,PIT STOPS OF AMERICA,1801 BROADWAY 1205,DENVER,CO,,7,1990-12-13,I-80 INTERCHANGE NW CRNR,BIG SPRINGS,DEUEL,,10780,PIT STOPS OF AMERICA
APS-2000,5,CITY OF PERU,5TH & MAIN,PERU,NE,68421,7,1991-02-04,5TH & MAIN ST,PERU,NEMAHA,,10800,CITY OF PERU - 5TH & MAIN
APS-2004,5,CHARLES J GUDE,6TH ST & CENTRAL AVE,NEBRASKA CITY,NE,68410,7,1991-02-14,6TH ST & CENTRAL AVE,NEBRASKA CITY,OTOE,,10804,CHARLES GUDE PROPERTY
APS-2018,5,HAROLD STEGGS REAL ESTATE,716 FLACK,ALLIANCE,NE,69301,7,1991-03-12,1016 W 3RD ST,ALLIANCE,BOX BUTTE,,10817,HAROLD STEGGS REAL ESTATE
APS-2021,5,NICK DAFNEY,1042 COLORADO ST,ALLIANCE,NE,68301,7,1991-04-05,HWY 2,ANTIOCH,SHERIDAN,,10820,NICK DAFNEY PROPERTY
APS-2024,5,"OLBERDING, GARY",107 WT 2ND,STUART,NE,68780,7,1991-03-28,708 E HWY 20,STUART,HOLT,,10822,"OLBERDING, GARY"
APS-2027,5,WESTERN AND SOUTHERN LIFE,400 BROADWAY,CINCINNATI,OH,45202,7,1991-04-24,4817 N 56TH ST,LINCOLN,LANCASTER,GASOLINE,10825,WESTERN AND SOUTHERN LIFE
APS-2050,5,MERLIN FALLER,2020 STONE ST,FALLS CITY,NE,68355,7,1991-07-07,2020 STONE ST,FALLS CITY,RICHARDSON,GAS & KEROSENE,10844,MERLIN FALLER
APS-2051,5,KUNZE REPAIR SHOP,MAIN ST,PALMER,NE,68864,7,1991-08-12,MAIN ST,PALMER,MERRICK,,10845,KUNZE REPAIR SHOP
APS-2060,5,CITY OF MADISON,,MADISON,NE,68748,7,1991-07-08,310 W 3RD ST,MADISON,MADISON,,10853,CITY OF MADISON
APS-2061,5,CITY OF FRANKLIN,15TH AVE,FRANKLIN,NE,68939,7,1991-07-09,15TH AVE,FRANKLIN,FRANKLIN,,10854,RITEWAY GROCERY
APS-2064,5,DEKALB SEEDS,308 W 3RD ST,MADISON,NE,68748,14,1991-07-09,308 W 3RD ST,MADISON,MADISON,HEATING OIL,10857,DEKALB SEEDS
APS-2071,5,PAULSENS,15TH AVE,FRANKLIN,NE,68939,7,1991-08-21,15TH AVE,FRANKLIN,FRANKLIN,GASOLINE,11178,PAULSENS
APS-2079,5,D & D ENTERPRISES,1217 Q ST,LINCOLN,NE,68501,14,1991-09-05,"1217 Q"" ST""",LINCOLN,LANCASTER,HEATING OIL,10869,D & D ENTERPRISES
APS-2088,5,ALIANT COMMUNICATIONS CO,"1440 M"" ST""",LINCOLN,NE,68510,14,1991-04-09,4730 SOUTH ST,LINCOLN,LANCASTER,DIESEL,10877,LINCOLN TELEPHONE CO
APS-2123,5,"SAWYER, JERRY","1511 E D"" ST""",NORTH PLATTE,NE,69101,7,1992-02-03,GATES GROCERY,ANSELMO,CUSTER,,10903,GATES GROCERY
APS-2125,5,ORPHAN UST,,,,,14,1992-02-07,134TH & W DODGE RD N SIDE,OMAHA,DOUGLAS,GASOLINE,10905,ORPHAN UST 134TH & DODGE
APS-2129,5,MARK DENDINGER ESTATE,W 1ST STREET,LAUREL,NE,68745,7,1992-03-24,W 1ST STREET,LAUREL,CEDAR,UNKNOWN,10908,MARK DENDINGER ESTATE
APS-2141,5,MARTIN MARIETTA AGGREGATE,PO BOX 448,WEEPING WATER,NE,68463,7,1992-06-15,ASHLAND QUARRY HWY 6,ASHLAND,SAUNDERS,GASOLINE,10919,MARTIN MARIETTA
APS-2166,5,MINI MART INC,PO BOX 3259,CASPER,WY,82602,7,1992-06-04,504 W 3RD ST,CHADRON,DAWES,,3916,MINI MART #335
APS-2182,5,UNKNOWN - WALDBAUM CO,,,,,7,1992-07-21,316 MAIN ST,WAKEFIELD,DIXON,,10949,UNKNOWN - MG WALDBAUM CO
APS-2196,5,LINCOLN AIRPORT AUTHORITY,2400 W ADAMS,LINCOLN,NE,68524,14,1992-08-31,4520 W STANTON,LINCOLN,LANCASTER,HEATING OIL,10961,LINCOLN AIRPORT
APS-2200,5,A & P LIMITED,PO BOX 95109,LINCOLN,NE,68509,7,1992-10-20,1340 & 1330 LINCOLN MALL,LINCOLN,LANCASTER,DIESEL,10964,PRESIDENT & AMBASSADOR AP
APS-2206,5,HAMILTON CO COURTHOUSE,1111 13TH ST,AURORA,NE,68818,14,1992-10-02,1111 13TH ST,AURORA,HAMILTON,FUEL OIL,10969,HAMILTON CO COURTHOUSE
APS-2208,5,J & K AUTO PARTS,551 N LINDEN BOX 277,WAHOO,NE,68066,7,1992-11-20,235 E 6TH ST,WAHOO,SAUNDERS,WASTE OIL,10971,J & K AUTO PARTS
APS-2245,5,,I-80 INTERCHANGE,HERSHEY,NE,69143,7,1993-01-08,I-80 INTERCHANGE,HERSHEY,LINCOLN,,7588,HERSHEY TRUCK STOP
APS-2253,5,FMHA,RM 308 FEDERAL BLDY,LINCOLN,NE,68508,7,1993-02-12,"2.5 MILES E, 1 S",CEDAR BLUFFS,SAUNDERS,GASOLINE,11009,LYNN KELLER FARM
APS-2257,5,MADDUX CATTLE CO,PO BOX 217,WAUNETA,NE,69045,14,1993-03-30,125 SE RR 34-7-37,WAUNETA,CHASE,GASOLINE,7446,MADDUX CATTLE CO
APS-2258,5,MADDUX CATTLE CO,PO BOX 217,WAUNETA,NE,69045,14,1993-03-30,125 SE RR 14-7-36,WAUNETA,CHASE,GASOLINE,7447,MADDUX CATTLE CO
APS-2259,5,MADDUX CATTLE CO,PO BOX 217,WAUNETA,NE,69045,14,1993-03-30,125 SE RR34-8-37,WAUNETA,CHASE,GASOLINE,7448,MADDUX CATTLE CO
APS-2261,5,LINCOLN MEMORIAL PARK,6700 S 14TH ST,LINCOLN,NE,68512,7,1993-04-05,6700 S 14TH ST,LINCOLN,LANCASTER,GASOLINE,11014,LINCOLN MEMORIAL PARK
APS-2268,5,"ADAMS, RANDALL",PO BOX 7,PRIMROSE,NE,68655,14,1993-04-08,.75 MI E OF PRIMROSE,PRIMROSE,BOONE,GASOLINE,11018,"ADAMS, RANDALL"
APS-2298,5,KPTM TV STATION,4625 FARNAM ST,OMAHA,NE,68132,14,1993-09-01,4625 FARNAM ST,OMAHA,DOUGLAS,#5 FUEL OIL,11046,KPTM
APS-2304,5,LEE SAPP FORD MERCURY,1602 SILVER ST,ASHLAND,NE,68003,14,1993-07-12,1602 SILVER ST,ASHLAND,LANCASTER,"GASOLINE, SOLVENT",1334,ORPHAN USTS/LEE SAP FORD
APS-2307,5,ORPHAN USTS,,,,,7,1993-07-30,VILLAGE R O W BETW 2ND & 3RD,STEINAUER,DAWES,,11053,ORPHAN UST ON VILG R O W
APS-2314,5,TRAIL ANIMAL CLINIC,BOX 729,BRIDGEPORT,NE,69336,7,1993-08-19,SEC 6 T20N R50W,BRIDGEPORT,MORRILL,GASOLINE,11060,TRAIL ANIMAL CLINIC
APS-2325,5,UNKNOWN,,,,,7,1993-10-27,1ST AVE & 14TH ST,SCOTTSBLUFF,SCOTTS BLUFF,UNKNOWN,11067,FORMER SERVICE STATION
APU-0030,5,TED FORKE,NBC CENTER STE 803,LINCOLN,NE,68508,7,1990-08-16,4830 RENTWORTH DR,LINCOLN,LANCASTER,GASOLINE,NONE,TED FORKE
APU-0031,5,MAYBERRY AND WALLACE,,,,,7,1987-10-28,8TH & H ST,BURWELL,GARFIELD,GASOLINE,NONE,MAYBERRY & WALLACE
APU-0033,5,UNK-HAIR II-UNL,,,,,7,1988-06-02,SE CRNR 17TH & R,LINCOLN,LANCASTER,GASOLINE & WASTE OIL,NONE,HAIR II - UNL PROPERTY
APX0004,5,SAVE-A-MORE,4400 N 70TH ST,LINCOLN,NE,68516,7,1989-02-08,4400 N 70TH ST,LINCOLN,LANCASTER,DIESEL OIL,2592,SAVE-A-MORE
APX0005,5,SEWARD MOTOR FREIGHT,PO BOX 126,SEWARD,NE,68434,7,1989-03-21,970 - 280TH,SEWARD,SEWARD,UNKNOWN,1157,SEWARD MOTOR FREIGHT
APX0006,5,SWANSON FORD,305 S 2ND ST,CERESCO,NE,68017,7,1989-03-31,304 S 2ND - SE CORNER,CERESCO,SAUNDERS,,7265,SWANSON FORD
APX0014,5,BOLZ ELECTRIC,5860 SEWARD,LINCLON,NE,68508,14,1989-04-12,5860 SEWARD,LINCOLN,LANCASTER,FUEL,1641,BOLZ ELECTRIC
APX0019,5,LINCOLN PLATING,"600 W E"" ST""",LINCLON,NE,68508,14,1989-04-20,"600 W E"" ST""",LINCOLN,LANCASTER,HEATING OIL,NONE,LINCOLN PLATING
APX0021,5,NDOR - ORPHAN TANK,HWY 281-34 & J ST,HASTINGS,NE,68901,7,1989-08-29,J & BURLINGTON (HWYS 281 & 6),HASTINGS,ADAMS,,NONE,ORPHAN - HWY 281-34 J ST
APX0027,5,KOUNTZE MEMORIAL CHURCH,2650 FARMAM ST,OMAHA,NE,68105,7,1989-05-30,2754 FARNAM ST,OMAHA,DOUGLAS,GASOLINE,8066,KOUNTZE MEMORIAL CHURCH
APX0036,5,MIDWEST PUMP & EQUIPMENT,"139 W A"" ST""",LINCLON,NE,68508,7,1989-04-19,"139 W A"" ST""",LINCOLN,LANCASTER,GAS,NONE,MIDWEST PUMP & EQUIPMENT
APX0037,5,TOM'S SNACK FOOD,1230 SAUNDERS,LINCLON,NE,68508,7,1989-04-11,1230 SAUNDERS AVE,LINCOLN,LANCASTER,GAS,5157,TOM'S SNACK FOOD
APX0057,5,L & G PROPERTIER,4383 NICHOLAS,OMAHA,NE,,7,,4383 NICHOLAS,OMAHA,DOUGLAS,,4640,L & G PROPERTIER
APX0071,5,NE MILITARY DEPT,1300 MILITARY RD,LINCOLN,NE,68508,14,1989-06-14,6929 MERCY RD,OMAHA,DOUGLAS,FUEL OIL,8776,OMAHA ARMORY
APX0079,5,"LOTT, ROGER",1944 B ST,LINCLON,NE,68508,14,1989-06-28,"1944 B"" ST""",LINCOLN,LANCASTER,GAS & HEATING OIL,8192,ROGER LOTT
APX0118,5,ST. MARY'S ELEM SCHOOL,"3529 Q"" ST.""",OMAHA,NE,,14,1989-08-10,5226 S 36TH ST,OMAHA,DOUGLAS,HEATING OIL,5144,ST. MARY'S SCHOOL
APX0123,5,MICKEY BURNS,847 FERNDALE RD,LINCOLN,NE,,7,1989-11-09,5621 S 50TH ST,LINCOLN,LANCASTER,GASOLINE,7439,MICKEY BURNS
AP0006,5,LEXINGTON COOP OIL CO,E HWY 30 BOX A,LEXINGTON,NE,68850,7,1988-06-03,"DARR, ALONG HWY 30",LEXINGTON,DAWSON,DIESEL,6,DARR BRANCH
AP0008,5,LEXINGTON COOP OIL CO,"E HWY 30, BOX A",LEXINGTON,NE,68850,7,1988-12-12,E HWY 30,LEXINGTON,DAWSON,GASOLINE,4008,FERTILIZER PLANT
AP0016,5,THOMAS FUNERAL HOME,3920 N 24TH ST,OMAHA,NE,68110,7,1991-12-07,3920 N 24TH ST,OMAHA,DOUGLAS,GAS,16,THOMAS FUNERAL HOME
AP0019,5,CUSTER PPD,PO BOX 10,BROKEN BOW,N3,68822,7,1987-05-20,603 KUHN ST,THEDFORD,CUSTER,GASOLINE,19,CUSTER PUB PWR DIST
AP0022,5,TRUMBULL COOP ASSN,BOX 73,TRUMBULL,NE,68980,7,1988-12-12,HARMON OFFICE,INLAND,CLAY,GASOLINE AND DIESEL,22,TRUMBULL COOP ASSN
AP0024,5,CUNNING TRUCK SERVICE,1105 E 23RD ST,FAIRBURY,NE,68352,7,1998-11-13,1105 E. 23RD ST,FAIRBURY,JEFFERSON,"GASOLINE, DIESEL",24,CANNING TRUCK SERVICE
AP0026,5,"BAKER, VANCE A",HWY 183,SPRINGVIEW,NE,68778,7,1988-10-18,HWY 183,SPRINGVIEW,KEYA PAHA,GASOLINE,26,VANCE A BAKER
