SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP8227,5,GAGE CO LAW ENFORCEMENT,612 LINCOLN,BEATRICE,NE,68310,14,1990-01-23,612 LINCOLN,BEATRICE,GAGE,HEATING OIL,8227,GAGE CO LAW ENFORCEMENT
AP8228,5,GAGE COUNTY HIWAY DEPT.,8TH & BROWN STREET,BEATRICE,NE,68310,7,1990-01-24,8TH & BROWN STREET,BEATRICE,GAGE,GASOLINE AND DIESEL,8228,GAGE COUNTY HIWAY DEPT.
AP8230,5,DALE FARR,I-80 INTERCHANGE,OVERTON,NE,68863,7,1990-01-23,I-80 INTERCHANGE,OVERTON,DAWSON,GAS & DIESEL,8230,DALE FARR
AP8239,5,APPOLO CONCRETE,15405 WAREHOUSE,BENNINGTON,NE,68007,7,1992-11-25,15405 WAREHOUSE,BENNINGTON,DOUGLAS,GASOINE,8239,APPOLO CONCRETE
AP8247,5,EAGLES CLUB,2050 CORNHUSKER,LINCOLN,NE,,7,1990-02-14,2050 CORNHUSKER HWY,LINCOLN,LANCASTER,DIESEL,8247,EAGLES CLUB
AP8262,5,TUREKS GARAGE,HWY 13 NORTH,PIERCE,NE,68767,7,1990-03-21,215 W PIERCE,PIERCE,PIERCE,,8262,TUREKS GARAGE
AP8264,5,BENEDICTINE MISSION HOUSE,RR 1,SCHUYLER,NE,68661,7,1995-08-07,RR 1,SCHUYLER,COLFAX,GASOLINE & HEATING OIL,8264,BENEDICTINE MISISON HOUSE
AP8274,5,STEWART'S INC,225 EAST 11TH STREET,SIOUX FALLS,SD,,7,1990-05-30,4145 AMES,OMAHA,DOUGLAS,GASOLINE,8274,STEWART'S INC
AP8283,5,HICKS CONSTRUCTION,4383 IZARD ST,OMAHA,NE,68131,7,1991-07-08,4383 IZARD ST,OMAHA,DOUGLAS,UNKNOWN,8283,HICKS CONSTRUCTION
AP8285,5,JANICE BIERANOWSKI,,,,,7,1991-05-07,1901 AMES AVE,OMAHA,DOUGLAS,,8285,JANICE BIERANOWSKI
AP8315,5,DIETLOFF TRANSFER,1600 W EISENHOWER,NORFOLK,NE,68701,7,2003-05-01,1206 MONROE AVE,NORFOLK,MADISON,DIESEL,8315,DIETLOFF TRANSFER
AP8320,5,BOB ROBINSON,1100 S 4TH ST,NORFOLK,NE,68701,13,1991-06-25,1100 S 4TH ST,NORFOLK,MADISON,,8320,BOB ROBINSON
AP8327,5,NORFOLK COUNTRY INN,1201 SOUTH 13TH,NORFOLK,NE,,7,1992-02-12,1201 SOUTH 13TH,NORFOLK,MADISON,DIESEL,8327,NORFOLK COUNTRY INN
AP8354,5,UNKNOWN AT S & W FENCE CO,,,,,7,1990-07-24,15803 PACIFIC ST,OMAHA,DOUGLAS,UKNOWN,8354,S & W FENCE CO UNKNOWN RP
AP8361,5,OTOE COUNTY,OTOE COUNTY COURTHOU,NEBRASKA CITY,NE,68410,7,1991-02-27,NW CORNER CTY SHOP,DOUGLAS,OTOE,GAS,8361,OTOE COUNTY
AP8377,5,ISOM DRAGLINE SERVICE,505 N COLUMBUS,MULLEN,NE,69152,7,1993-05-04,505 N COLUMBUS,MULLEN,HOOKER,GAS,8377,ISOM DRAGLINE SERVICE
AP8381,5,GOERING CONSTRUCTION,118 E 4TH,PLATTE CENTER,NE,68653,7,1994-05-16,118E 4TH,PLATTE CENTER,PLATTE,GAS,8381,GOERING CONSTRUCTION
AP8384,5,THURSTON CO RD DEPT,COUNTY & TWP RD SHED,ROSALIE,NE,68055,7,1992-03-01,CO & TOWNSHIP RD SHED,ROSALIE,THURSTON,GASOLINE & DIESEL,8384,THURSTON CO RD DEPT
AP8394,5,FARMERS UNION COOP ASSN,S HWY 281,ST PAUL,NE,68873,7,1991-07-18,7TH & INDIAN ST,ST PAUL,HOWARD,GAS & DIESEL,8394,FARMERS UNION COOP ASSN
AP8396,5,"JESSE ROBINSON, SR",,,,,7,1991-05-22,201 W 2ND ST,KENNARD,WASHINGTON,,8396,FORMER SERVICE STATION
AP8400,5,HERGERT MILLING INC,"1415 AVE B,  BOX 240",SCOTTSBLUFF,NE,69361,7,1993-04-09,1401 AVENUE B,SCOTTSBLUFF,SCOTTS BLUFF,UNKNOWN,8400,HERGERT MILLING INC
AP8407,5,US WEST COMMUNICATIONS,925 HIGH 8N-10,DES MOINES,IA,50309,7,1994-08-23,125 E 39TH ST,SOUTH SIOUX CITY,DAKOTA,DIESEL,8407,U.S. WEST
AP8412,5,LOGHRY TRUCKING,AIRPORT RD,MCCOOK,NE,69001,7,1991-07-03,AIRPORT RD,MC COOK,RED WILLOW,,8412,LOUGHRY TRUCKING
AP8413,5,BRIDGESTONE/FIRESTONE INC,1200 FIRESTONE PKWY,AKRON,OH,44317,7,1991-07-17,1920 23RD ST,COLUMBUS,PLATTE,USED OIL,8413,BRIDGESTONE/FIRESTONE INC
AP8415,5,KPTM,4625 FARNAM,OMAHA,NE,68132,7,1991-07-03,"19801 PFLUG RD, GRETNA",GRETNA,SARPY,DIESEL,8415,KPTM - GRETNA TOWER
AP8416,5,NE GAME & PARKS COMMISSN,PO BOX 30370,LINCOLN,NE,68503,7,1991-11-14,3 MI S/I-80 & HWY 83 1 MI E,NORTH PLATTE,LINCOLN,HEATING OIL,8416,NEBRASKA GAME & PARKS
AP8423,5,"AUSTIN CO.,INC",POBOX 627,COLUMBUS,NE,68601,7,1994-10-10,NE 1/4 SEC 5,SPALDING,GREELEY,DIESEL,8423,"AUSTIN CO., INC"
AP8432,5,NE MILITARY DEPARTMENT,1300 MILITARY ROAD,LINCOLN,NE,68508,7,1996-09-12,2020 4TH & CORSO,NEBRASKA CITY,OTOE,GASOLINE,8432,NEBRASKA CITY ARMORY
AP8445,5,PEELS BEAUTY SALON,333 S. 78TH ST.,OMAHA,NE,68114,7,1992-06-19,333 S 78TH ST,OMAHA,DOUGLAS,,8445,PEELS BEAUTY SHOP
AP8450,5,DISCOUNT LAWN-GARDEN,1016 W NOBES,YORK,NE,68467,7,1998-05-19,14847 INDUSTRIAL,OMAHA,DOUGLAS,WASTE OIL,8450,DISCOUNT LAWN/GARDEN
AP8452,5,CITY OF OMAHA,1819 FARNAM ST,OMAHA,NE,68183,7,2000-06-16,1802 N 20TH ST,OMAHA,DOUGLAS,"DIESEL, WASTE OIL",8452,ORPHAN UST
AP8463,5,PLATTE RIVER BYPRODUCTS,,,,,7,1985-08-01,5251 W GUENTHER,GRAND ISLAND,HALL,,8463,PLATTE RIV BYPR - MONFORT
AP8465,5,UNKNOWN - OWNER DECEASED,,,,,7,1992-03-30,LOTS 1 & 2 BLOCK 19,TRENTON,HITCHCOCK,UNKNOWN,8465,UNKNOWN
